date,variant_01,variant_02,variant_03,variant_04,variant_05,variant_06,variant_07,variant_08,variant_09,variant_10,variant_11,variant_12,variant_13,variant_14,variant_15,variant_16,variant_17,variant_18,variant_19,variant_20,variant_21,variant_22,variant_23,variant_24
2024-01-02,-0.005826,0.00049,-0.010492,-0.008366,-0.007535,0.006421,-0.000994,-0.001149,-0.017372,0.004669,-0.009668,0.000424,-0.024577,0.013044,-0.010901,-0.004057,0.004898,0.011618,-0.011795,0.021548,0.009399,0.008687,-0.0032,0.005882
2024-01-03,0.008116,-0.004666,0.003753,0.012964,0.008306,-0.00731,-0.01024,-0.024233,0.00843,-0.009324,0.0054,-0.002025,0.001114,0.018681,-0.000994,-0.004162,-0.00866,0.002191,-0.000719,0.015022,0.00847,-0.002532,-0.0147,-0.00047
2024-01-04,0.003933,-0.006021,-0.004758,0.002183,-0.006531,-0.004694,0.012971,-0.007999,0.002343,-0.024801,-0.010326,-0.002693,0.008335,0.007875,-0.018054,-0.002479,0.009548,-0.002285,0.002853,0.00046,0.001099,-0.010612,0.021431,0.004593
2024-01-05,-0.013335,0.001009,0.00269,-0.013188,0.01657,-0.006153,-0.010861,-0.004536,0.014084,-0.002158,-0.003401,0.002718,0.008036,-0.002484,-0.009706,-0.015271,-0.000752,0.007786,0.008672,-0.009456,0.015622,0.005151,-0.009122,0.00504
2024-01-08,-0.014155,-0.006861,-0.008373,-0.004547,0.005188,-0.007396,0.003486,0.000728,-0.005164,0.005536,-0.017159,-0.008276,0.000334,0.008839,-0.008834,0.008203,0.001902,-0.013427,0.000893,-0.009901,-0.012354,-0.005872,-0.012214,0.007915
2024-01-09,-0.016215,0.018158,-0.002495,0.000754,-0.014494,-0.005964,0.001928,-0.001211,-0.010281,-0.017015,0.016909,0.006398,0.002553,-0.010169,0.009634,-0.003798,-0.000221,0.005884,-0.015701,0.011732,-0.013861,0.016306,-0.003193,-0.006881
2024-01-10,0.0019,-0.016541,-0.001468,-0.003451,0.008091,-0.019868,-0.011509,0.006288,-0.011488,0.013495,-0.00415,0.007453,0.000989,-0.013895,0.003689,-0.014435,-0.006736,-0.006696,-0.009254,-0.000454,0.006596,-0.008604,0.010752,0.018049
2024-01-11,-0.009522,-0.007669,0.01145,0.004801,0.015765,-0.002323,-0.001146,-0.013024,0.018049,-0.015152,-0.000583,0.00777,-0.004904,0.001922,0.013744,0.010219,0.004927,-0.0054,0.024227,0.007547,0.003805,0.001037,0.010679,0.012994
2024-01-12,-0.008257,0.014073,-0.004841,0.009864,0.001631,-0.017799,-0.00072,-0.005774,-0.007625,0.005753,0.007902,-0.003621,-0.008804,0.006747,-0.000956,-0.006486,-0.002965,0.004518,0.005631,0.01754,-0.004463,0.000411,0.015044,-0.012342
2024-01-15,-0.008875,0.019603,0.005185,-0.007096,0.009748,-0.021961,0.002803,0.000911,-0.005172,0.004219,-0.027992,0.000626,0.000263,0.000371,-0.016439,-0.008658,-0.016115,0.006603,-0.017972,0.007565,0.002552,0.010497,-0.010425,0.00592
