horizon_bars,trade_date,policy_net_return,momentum_net_return
1,2026-05-21,0.0,-0.05592227465647782
1,2026-05-22,0.0,-0.04995040839915564
1,2026-05-25,0.0,-0.038386223055696694
1,2026-05-26,0.0,-0.04652274067390997
1,2026-05-27,0.0,-0.050880879176993805
1,2026-05-28,0.0,-0.044485568386963555
1,2026-05-29,0.0,-0.029995482700926838
1,2026-06-01,0.0,-0.059853355939806105
1,2026-06-02,0.0,-0.03163279625272601
1,2026-06-03,0.0,-0.04859130152726977
1,2026-06-04,0.0,-0.05407140698688038
1,2026-06-05,0.0,-0.051709054284258954
1,2026-06-08,0.0,-0.030090655191976574
1,2026-06-09,0.0,-0.05686152302381841
1,2026-06-10,0.0,-0.03873121781930674
1,2026-06-11,0.0,-0.0570900541787188
1,2026-06-12,0.0,-0.032831266864206336
1,2026-06-15,0.0,-0.04721896782097354
1,2026-06-16,0.0,-0.052530166533701135
1,2026-06-17,0.0,-0.03881829028815507
1,2026-06-18,0.0,-0.049402817246303285
3,2026-05-21,0.0,-0.022799152235354943
3,2026-05-22,0.0,-0.014092739222219467
3,2026-05-25,0.0,-0.010111037133037954
3,2026-05-26,0.0,-0.01944856487996431
3,2026-05-27,0.0,-0.019748452088329742
3,2026-05-28,-0.0025080411865429893,-0.013921401680281928
3,2026-05-29,0.0,-0.007761132079977121
3,2026-06-01,0.0,-0.026590105517656507
3,2026-06-02,0.0,-0.005719582130999668
3,2026-06-03,0.0,-0.01458179873751717
3,2026-06-04,0.0,-0.020922067800092408
3,2026-06-05,0.0,-0.02177467941022762
3,2026-06-08,0.0,0.0017313431478901493
3,2026-06-09,0.0,-0.01669001583608497
3,2026-06-10,-0.0006283467666262064,-0.006329231972862006
3,2026-06-11,0.0,-0.022278313226475586
3,2026-06-12,0.0,-0.005131234689693941
3,2026-06-15,0.0,-0.015172035065839692
3,2026-06-16,0.0,-0.019404718022342275
3,2026-06-17,0.0,-0.010176988888137612
3,2026-06-18,0.0,-0.016494694671669082
6,2026-05-21,0.0,-0.013811037155148188
6,2026-05-22,0.0,-0.004656850684838954
6,2026-05-25,0.0,-0.004975167653003403
6,2026-05-26,0.0,-0.010221132441174363
6,2026-05-27,0.0,-0.009440981738000403
6,2026-05-28,0.0,-0.008361275685254516
6,2026-05-29,0.0,-0.004305899336767712
6,2026-06-01,0.0,-0.01679208284736667
6,2026-06-02,0.0,-0.0038449219108177774
6,2026-06-03,0.0,-0.004667487262134555
6,2026-06-04,0.0,-0.009110087239404128
6,2026-06-05,0.0,-0.01129344768074793
6,2026-06-08,0.0,0.002099548175057206
6,2026-06-09,0.0,-0.011587310908711656
6,2026-06-10,0.0,0.003094739531976835
6,2026-06-11,0.0,-0.009555671789509586
6,2026-06-12,0.0,0.0021554918406905643
6,2026-06-15,0.0,-0.007597193183051364
6,2026-06-16,0.0,-0.011059137830063095
6,2026-06-17,-0.0014317910235608945,-0.007958375526555728
6,2026-06-18,0.0,-0.00858422048105682
