rank,signalDate,securityId,name,close,adaptiveFactorScore,twelveFactorScore,interactionCompositeScore,interactionRanks,expectedGrossReturn,probabilityUp,probabilitySevereLoss,factorCount,imputedFactorCount,factorCompletion,estimateSource,status
1,2026-08-12,SH.600955,维远股份,13.1631,0.83746225,0.87693663,0.71903914,"{'earnings_volume_confirmation': 0.69015419, 'growth_momentum_confirmation': 0.52289444, 'quality_low_volatility': 0.72218269, 'cash_quality_reversal': 0.94092524}",0.00181369,0.49155347,0.06745887,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
2,2026-08-12,SH.688334,西高院,19.3156,0.79267645,0.77629692,0.84181494,"{'earnings_volume_confirmation': 0.79928827, 'growth_momentum_confirmation': 0.61043888, 'quality_low_volatility': 0.99098456, 'cash_quality_reversal': 0.96654803}",0.00181895,0.49116982,0.0621212,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
3,2026-08-12,SH.603075,热威股份,21.009,0.79072487,0.84441447,0.62965602,"{'earnings_volume_confirmation': 0.68208778, 'growth_momentum_confirmation': 0.1658363, 'quality_low_volatility': 0.8332147, 'cash_quality_reversal': 0.83748519}",0.00155064,0.49136052,0.06805287,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
4,2026-08-12,SZ.000027,深圳能源,101.9846,0.78678364,0.82021923,0.68647689,"{'earnings_volume_confirmation': 0.37864769, 'growth_momentum_confirmation': 0.56631082, 'quality_low_volatility': 0.95729536, 'cash_quality_reversal': 0.84365362}",0.00116893,0.49081717,0.06300723,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
5,2026-08-12,SH.688128,中国电研,25.613,0.78357893,0.80631801,0.71536183,"{'earnings_volume_confirmation': 0.51530248, 'growth_momentum_confirmation': 0.53879005, 'quality_low_volatility': 0.97793597, 'cash_quality_reversal': 0.82941872}",0.00161212,0.49133509,0.06329596,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
6,2026-08-12,SH.603173,福斯达,33.7538,0.78160626,0.79724253,0.73469752,"{'earnings_volume_confirmation': 0.63558722, 'growth_momentum_confirmation': 0.35492289, 'quality_low_volatility': 0.96915776, 'cash_quality_reversal': 0.97912216}",0.00140296,0.49083418,0.06460495,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
7,2026-08-12,SH.603856,东宏股份,17.3352,0.77952844,0.81979833,0.65871888,"{'earnings_volume_confirmation': 0.44911033, 'growth_momentum_confirmation': 0.31981021, 'quality_low_volatility': 0.90035588, 'cash_quality_reversal': 0.96559906}",0.00147429,0.49110078,0.06610738,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
8,2026-08-12,SH.601033,永兴股份,15.967,0.77798396,0.76012733,0.83155394,"{'earnings_volume_confirmation': 0.66951364, 'growth_momentum_confirmation': 0.69489914, 'quality_low_volatility': 0.98932385, 'cash_quality_reversal': 0.97247922}",0.00165236,0.49097379,0.06936878,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
9,2026-08-12,SZ.000819,岳阳兴长,64.823,0.77631813,0.81415373,0.6628114,"{'earnings_volume_confirmation': 0.51696324, 'growth_momentum_confirmation': 0.55112696, 'quality_low_volatility': 0.61613286, 'cash_quality_reversal': 0.96702254}",0.00165915,0.49125067,0.06996495,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
10,2026-08-12,SH.600283,钱江水利,14.9555,0.7760976,0.79120249,0.73078293,"{'earnings_volume_confirmation': 0.47473308, 'growth_momentum_confirmation': 0.71625149, 'quality_low_volatility': 0.97959667, 'cash_quality_reversal': 0.75255042}",0.00173843,0.49117176,0.0648751,16,0,all_four_interactions_present_price_factors_complete,sixteen_factor_fundamental_interaction_multivariate_calibrated,diagnostic_only_reranked_not_an_order
