factor,prior,learned,replicaMinimum,replicaMaximum,replicaStd
gtja191/alpha_070,0.08229227129748864,0.12539840614251838,0.11950207426515945,0.13227274464620684,0.005376192139764672
gtja191/alpha_052,0.0731560904143667,0.04065437306922222,0.03348513282476551,0.0455634247855433,0.004493618317472308
qlib158/vstd60,0.07197177559294392,0.0437812609341778,0.037214310106984366,0.04586871765597664,0.0034601543325930902
gtja191/alpha_097,0.06305457696233764,0.11376694392328886,0.10673028962637088,0.11833799645979665,0.004644179146389644
academic/retskew,0.0618057047560428,0.06966487812561145,0.06206182471586301,0.07773713855520704,0.00621433746600461
gtja191/alpha_145,0.060241015489788954,0.02690292042881155,0.022523875565581098,0.032531821711886524,0.0035523278363708785
qlib158/cord30,0.059606825555389265,0.030797636891143332,0.022684845445492978,0.04027996407392467,0.006680094194710379
gtja191/alpha_063,0.05864636926717592,0.02638509411628171,0.019932647900202567,0.03451562587413069,0.0057564743363578506
alpha101/alpha_029,0.05639431236308877,0.05968763980160825,0.0536103807067299,0.07089691694018052,0.006184701712450385
alpha101/alpha_094,0.05480802608350537,0.05992329509063522,0.05663794102972949,0.07108780828881721,0.005697441363974849
alpha101/alpha_088,0.05432385035313568,0.023751488045487018,0.01936004964625344,0.02523415338772297,0.0027948430191144604
qlib158/min5,0.05369918186473645,0.02407331478565427,0.020404340479959163,0.025919382000804927,0.0021004843981457058
interaction/earnings_volume_confirmation,0.0625,0.14348367079905378,0.1367263359400494,0.14802743292131515,0.004849823878825382
interaction/growth_momentum_confirmation,0.0625,0.15,0.14876210119627636,0.15,0.0006545316867788482
interaction/quality_low_volatility,0.0625,0.03212193229958333,0.02361316396398328,0.03695652720536911,0.005934236845154271
interaction/cash_quality_reversal,0.0625,0.02960714554692289,0.026341516127446115,0.03901215389299936,0.00476652558535541
